Date,Merchant,Amount,Year
17 JAN 2025,FAIRPRICE FINEST-WATER,12.1,2025
18 JAN 2025,BROTHERBIRD,5.5,2025
20 JAN 2025,FAIRPRICE FINEST-WATER,7.49,2025
21 JAN 2025,YOGA MOVEMENT-ORCHARD,1.0,2025
21 JAN 2025,2C2*SALAD,13.4,2025
22 JAN 2025,7-ELEVEN-FORTUNE,3.8,2025
24 JAN 2025,BCEXPRESSLAZADAONE,3.0,2025
24 JAN 2025,CCY,158.35,2025
25 JAN 2025,GUARDIAN HEALTH & BTY-,8.3,2025
26 JAN 2025,FAIRPRICE FINEST-MY,6.34,2025
26 JAN 2025,ASPEN & CO PTE,1.75,2025
26 JAN 2025,WWW.JUSIGNATURES.C*,12.64,2025
26 JAN 2025,LITTLE FARMS - MY,9.26,2025
28 JAN 2025,ASPEN & CO PTE,5.5,2025
28 JAN 2025,CCY,2.7,2025
28 JAN 2025,CCY,2.7,2025
28 JAN 2025,CCY,5.23,2025
30 JAN 2025,NTUC FP - SENGKANG,6.93,2025
31 JAN 2025,BUS/MRT 579971709,4.04,2025
02 FEB 2025,KURIYA JAPANESE,66.8,2025
02 FEB 2025,LITTLE FARMS-MYVILLAGE,50.36,2025
03 FEB 2025,DIN TAI FUNG-WWP,56.23,2025
03 FEB 2025,APARTMENT,28.0,2025
04 FEB 2025,7-ELEVEN-BRAS,1.7,2025
05 FEB 2025,FAIRPRICE FINEST-WATER,4.17,2025
06 FEB 2025,FAIRPRICE FINEST-WATER,8.0,2025
07 FEB 2025,ONALU SG PTE,9.45,2025
08 FEB 2025,LITTLE FARMS - MY,18.46,2025
08 FEB 2025,IKEA,6.0,2025
08 FEB 2025,FAIRPRICE FINEST-MY,4.68,2025
08 FEB 2025,FAIRPRICE FINEST-MY,0.05,2025
09 FEB 2025,FRUCE,2.75,2025
10 FEB 2025,7-ELEVEN-RENDEZVOUS,2.4,2025
10 FEB 2025,EPIDOR - PLAZA,1.9,2025
10 FEB 2025,2C2*SALAD,11.9,2025
11 FEB 2025,SO GOOD BAKERY-CAPITOL,7.2,2025
11 FEB 2025,SO GOOD BAKERY-CAPITOL,2.8,2025
11 FEB 2025,ISETAN (SUPERMARKET),17.75,2025
12 FEB 2025,7-ELEVEN-RENDEZVOUS,9.0,2025
12 FEB 2025,STARBUCKS@SMU(SMU),6.75,2025
13 FEB 2025,TOAST BOX -,2.2,2025
16 FEB 2025,LITTLE FARMS - MY,16.98,2025
